dance,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
305,402,-36.333,469,995,921,773,0.16,166.509,1
303,313,-21.266,486,988,0.85,484,586,135.547,1
0.29,137,-19.495,381,991,926,126,189,127.17,1
401,448,-22.262,552,918,759,682,695,110.936,1
374,366,-24.258,617,722,897,0.12,294,147.865,1
369,898,-22.042,572,987,744,224,77,167.655,1
348,111,-19.65,455,982,861,874,985,136.303,1
325,156,-19.344,354,956,881,881,107,142.451,1
344,258,-34.634,392,637,322,845,355,116.868,1
146,241,-40.843,434,995,945,113,973,166.462,1
283,139,-18.546,476,931,841,0.54,334,158.524,1
707,261,-14.57,559,994,904,724,576,117.466,1
519,185,-19.579,452,972,3.55e-05,705,704,119.371,1
367,302,-16.454,414,846,679,729,356,105.35,1
0.39,248,-14.52,411,986,0.92,104,0.15,94.64,1
707,261,-14.57,559,994,904,724,576,117.466,1
0.39,248,-14.52,411,986,0.92,104,0.15,94.64,1
241,17,-29.271,432,993,883,548,875,72.821,1
615,194,-20.573,393,973,808,0.12,589,75.981,1
585,309,-12.274,945,992,918,558,578,134.927,1
285,464,-38.222,435,995,844,582,216,72.32,1
411,692,-30.268,512,994,882,538,0.17,101.663,1
242,296,-28.611,401,993,902,751,438,70.249,1
523,224,-19.966,403,771,984,518,961,110.157,1
416,701,-31.421,558,995,952,78,234,72.341,1
433,73,-29.13,493,994,863,829,424,152.601,1
0.45,485,-31.079,38,972,911,172,316,126.978,1
397,213,-19.174,303,597,596,196,506,107.562,1
277,113,-38.384,285,769,268,321,725,102.532,1
547,0.62,-8.601,62,408,2,996,0.2,83.997,1
0.63,414,-9.888,291,615,329,162,394,100.946,1
0.57,703,-5.51,486,313,5.92e-06,556,598,172.025,1
327,279,-10.318,291,928,144,0.12,0.15,69.66,1
358,233,-10.632,305,884,2.8e-06,838,167,82.938,1
701,559,-12.297,537,752,77,935,542,112.99,1
499,215,-17.369,31,898,913,989,0.74,132.383,1
105,154,-14.355,334,946,895,683,756,71.0,1
568,396,-13.921,29,738,159,116,578,136.489,1
347,499,-7.596,344,756,0.0,183,345,133.872,1
168,306,-9.298,331,828,3.92e-06,969,131,77.89,1
105,154,-14.355,334,946,895,683,756,71.0,1
457,224,-19.476,344,715,1.2e-06,224,0.48,80.845,1
105,154,-14.355,334,946,895,683,756,71.0,1
347,499,-7.596,344,756,0.0,183,345,133.872,1
168,306,-9.298,331,828,3.92e-06,969,131,77.89,1
168,306,-9.298,331,828,3.92e-06,969,131,77.89,1
548,412,-10.248,333,807,934,127,325,79.512,1
541,321,-14.418,329,714,345,101,549,133.537,1
448,609,-38.376,184,994,936,749,201,76.323,1
382,982,-20.443,501,991,884,955,156,70.881,1
365,196,-14.108,349,904,968,831,588,77.88,1
365,196,-14.108,349,904,968,831,588,77.88,1
918,325,-26.707,494,995,864,109,393,68.958,1
461,214,-34.268,526,996,945,818,234,84.3,1
277,113,-38.384,285,769,268,321,725,102.532,1
334,168,-22.454,457,0.99,753,349,496,132.362,1
344,0.18,-22.637,396,993,931,279,527,140.086,1
615,194,-20.573,393,973,808,0.12,589,75.981,1
207,144,-26.105,39,994,866,0.33,358,155.492,1
433,73,-29.13,493,994,863,829,424,152.601,1
232,184,-20.299,452,917,916,126,254,89.624,1
372,252,-21.368,508,995,851,104,194,93.599,1
585,309,-12.274,945,992,918,558,578,134.927,1
378,379,-16.888,136,961,835,682,347,135.92,1
0.45,485,-31.079,38,972,911,172,316,126.978,1
506,336,-28.894,42,959,146,727,386,116.049,1
277,113,-38.384,285,769,268,321,725,102.532,1
204,527,-38.286,389,938,932,104,496,94.47,1
344,196,-21.548,608,888,757,928,214,134.361,1
528,29,-33.589,362,966,316,329,239,129.514,1
0.45,485,-31.079,38,972,911,172,316,126.978,1
0.45,485,-31.079,38,972,911,172,316,126.978,1
615,194,-20.573,393,973,808,0.12,589,75.981,1
433,73,-29.13,493,994,863,829,424,152.601,1
0.45,485,-31.079,38,972,911,172,316,126.978,1
198,189,-17.582,373,0.97,871,512,235,183.664,1
596,148,-23.21,374,965,921,983,488,74.423,1
506,336,-28.894,42,959,146,727,386,116.049,1
0.15,701,-21.872,456,0.91,852,77,903,181.584,1
273,0.08,-13.988,422,986,253,628,184,88.252,1
682,392,-11.303,498,452,9.85e-05,276,0.62,143.791,1
0.54,438,-8.409,765,815,0.0,388,777,89.848,1
105,154,-14.355,334,946,895,683,756,71.0,1
213,159,-13.897,366,715,914,101,373,143.35,1
213,656,-24.81,467,992,969,699,384,65.023,1
797,415,-14.557,514,881,0.0,873,965,113.42,1
412,313,-25.323,454,991,899,735,387,126.359,1
414,0.17,-13.479,317,761,728,143,455,146.763,1
297,409,-31.314,426,995,918,896,449,68.863,1
377,115,-17.089,529,986,69,988,264,109.99,1
288,186,-19.017,628,965,971,126,673,67.37,1
414,165,-14.443,405,989,464,227,417,120.216,1
401,302,-10.229,344,984,1.39e-05,334,497,127.555,1
511,256,-12.872,535,978,144,588,804,89.321,1
167,138,-26.922,355,0.99,887,0.1,483,67.109,1
534,263,-11.757,472,971,247,105,241,122.477,1
419,213,-23.095,357,961,899,237,0.36,97.708,1
373,108,-33.756,326,975,961,982,143,133.496,1
103,379,-27.05,482,985,202,102,326,85.961,1
428,119,-24.668,374,952,416,429,248,79.497,1
345,236,-21.922,401,989,952,228,0.38,135.677,1
215,184,-15.551,485,957,881,124,949,83.917,1
376,129,-23.677,397,993,899,142,561,56.596,1
375,318,-23.633,576,993,835,149,0.25,89.556,1
128,152,-30.53,374,995,913,744,803,67.291,1
289,139,-21.256,355,991,923,161,226,94.938,1
321,0.26,-22.783,422,977,938,148,275,88.565,1
345,147,-20.149,407,907,799,671,0.13,105.862,1
357,147,-22.524,479,985,447,584,0.11,107.869,1
267,174,-23.822,362,953,667,105,144,92.548,1
303,347,-24.555,419,994,899,789,834,80.939,1
