dance,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
473,68,0,-20.033,315,892,216,105,262,93.777,3,1
497,374,10,-6.941,28,751,5.82e-05,118,235,66.785,4,1
553,614,1,-5.098,306,764,0.0,811,345,136.628,4,1
445,553,11,-10.806,53,938,0.0,865,0.22,87.228,1,1
443,136,0,-12.984,341,889,967,183,264,86.646,4,1
428,414,7,-5.729,403,897,0.0,238,508,79.108,4,1
334,381,5,-10.121,317,0.74,3.63e-06,133,191,107.156,3,1
683,514,5,-9.168,252,325,0.0,161,654,122.097,4,1
429,477,6,-6.225,311,766,638,0.16,327,88.534,3,1
429,477,6,-6.225,311,766,638,0.16,327,88.534,3,1
566,484,7,-8.813,114,644,1.15e-05,171,729,148.975,4,1
429,477,6,-6.225,311,766,638,0.16,327,88.534,3,1
568,505,0,-8.041,128,676,1.67e-05,516,692,149.439,4,1
523,319,2,-11.024,388,839,1.75e-05,118,398,75.458,4,1
429,477,6,-6.225,311,766,638,0.16,327,88.534,3,1
568,505,0,-8.041,128,676,1.67e-05,516,692,149.439,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
334,381,5,-10.121,317,0.74,3.63e-06,133,191,107.156,3,1
429,477,6,-6.225,311,766,638,0.16,327,88.534,3,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
334,381,5,-10.121,317,0.74,3.63e-06,133,191,107.156,3,1
431,215,1,-11.471,523,777,0.0,179,401,77.108,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
429,477,6,-6.225,311,766,638,0.16,327,88.534,3,1
683,514,5,-9.168,252,325,0.0,161,654,122.097,4,1
683,514,5,-9.168,252,325,0.0,161,654,122.097,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
683,514,5,-9.168,252,325,0.0,161,654,122.097,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
607,381,9,-10.821,735,475,2.35e-05,105,703,167.423,4,1
683,514,5,-9.168,252,325,0.0,161,654,122.097,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
683,514,5,-9.168,252,325,0.0,161,654,122.097,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
401,368,7,-10.511,452,822,0.0,674,681,159.844,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
665,443,0,-8.076,803,582,0.0,113,662,122.872,4,1
665,443,0,-8.076,803,582,0.0,113,662,122.872,4,1
258,175,0,-11.903,323,939,156,136,107,89.072,3,1
