genre,dance,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,liveness,key,mode
pop,0.531,0.363,-7.672,0.0608,0.749,0,0.259,121.412,0.112,10,1
pop,0.701,0.751,-8.39,0.0502,0.123,0,0.22,129.994,0.15,0,1
pop,0.894,0.791,-4.699,0.112,0.0183,0,0.583,105.018,0.0388,2,1
pop,0.586,0.358,-9.761,0.0308,0.556,0,0.365,169.925,0.11,7,1
pop,0.504,0.386,-10.976,0.0308,0.502,1.53e-05,0.281,192.004,0.0961,11,1
pop,0.619,0.542,-8.681,0.0529,0.288,0,0.308,99.824,0.151,2,1
pop,0.417,0.33,-13.925,0.0275,0.247,0.000689,0.175,157.113,0.0677,9,1
pop,0.741,0.62,-5.505,0.0412,0.0295,0.000809,0.934,117.038,0.0398,10,1
pop,0.829,0.617,-8.497,0.14,0.227,0.00306,0.81,125.605,0.0618,1,1
pop,0.692,0.684,-7.364,0.155,0.131,0,0.406,112.912,0.156,6,1
pop,0.645,0.795,-12.095,0.0527,0.347,0.00389,0.535,112.067,0.104,7,1
pop,0.857,0.62,-8.13,0.0472,0.646,0.244,0.796,120.042,0.0934,0,1
pop,0.669,0.606,-7.193,0.0292,0.124,0,0.69,112.108,0.112,8,1
pop,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.337,85.012,0.123,10,1
pop,0.6,0.663,-5.802,0.0477,0.225,0,0.286,121.07,0.119,3,1
pop,0.472,0.471,-5.692,0.0603,0.151,0,0.219,105.029,0.14,10,1
pop,0.391,0.084,-17.843,0.0317,0.953,0,0.111,79.449,0.0983,0,1
pop,0.571,0.717,-5.807,0.0365,0.508,1.17e-06,0.661,171.858,0.112,6,1
pop,0.726,0.698,-4.165,0.0431,0.049,0,0.867,143.994,0.309,5,1
pop,0.628,0.453,-10.141,0.0271,0.448,0.000538,0.328,89.969,0.165,1,1
pop,0.52,0.8,-4.256,0.041,0.00801,0,0.538,93.155,0.303,1,1
pop,0.695,0.763,-3.497,0.0396,0.189,0.00242,0.551,120.042,0.0863,0,1
pop,0.663,0.77,-4.88,0.0371,0.0876,0,0.772,132.058,0.352,0,1
pop,0.643,0.849,-5.428,0.0526,0.0371,0,0.903,162.152,0.058,2,1
pop,0.526,0.749,-6.964,0.0283,0.023,1.76e-06,0.421,99.982,0.0692,3,1
pop,0.645,0.646,-8.334,0.0427,0.0615,3.04e-05,0.295,115.842,0.074,5,1
pop,0.62,0.706,-4.176,0.0251,0.0755,7.78e-06,0.591,81.989,0.185,3,1
pop,0.706,0.8,-6.333,0.0399,0.00584,0,0.629,100.011,0.0822,5,1
pop,0.66,0.757,-3.743,0.0321,0.00289,0,0.838,116.034,0.193,0,0
pop,0.66,0.757,-3.743,0.0321,0.00289,0,0.838,116.034,0.193,0,0
pop,0.61,0.926,-4.843,0.0479,0.031,0.0012,0.861,172.638,0.0821,8,0
classical,0.447,0.449,-10.634,0.0376,0.934,0.961,0.036,92.468,0.0697,2,1
classical,0.218,0.111,-21.375,0.0688,0.895,0.834,0.27,77.423,0.165,7,1
classical,0.225,0.00407,-37.107,0.0464,0.987,0.936,0.32,73.595,0.112,3,1
classical,0.213,0.0656,-24.81,0.0467,0.992,0.969,0.0384,65.023,0.0699,7,1
classical,0.468,0.0127,-36.856,0.123,0.994,0.937,0.356,72.776,0.094,7,1
classical,0.184,0.00527,-37.264,0.0432,0.995,0.887,0.151,170.612,0.173,1,0
classical,0.32,0.00501,-33.366,0.0455,0.993,0.919,0.0383,68.947,0.0618,1,1
classical,0.315,0.22,-21.343,0.0514,0.987,0.943,0.116,145.195,0.0802,9,1
classical,0.136,0.164,-18.756,0.0364,0.911,0.916,0.071,58.303,0.109,4,0
classical,0.239,0.287,-12.565,0.0388,0.876,0.644,0.185,71.608,0.122,7,0
classical,0.0999,0.181,-17.599,0.0424,0.94,0.888,0.0922,71.277,0.105,0,0
classical,0.335,0.00532,-31.646,0.0376,0.994,0.912,0.0397,65.832,0.0621,1,1
classical,0.464,0.305,-12.435,0.0316,0.936,0.0848,0.281,107.854,0.208,3,0
classical,0.429,0.258,-16.967,0.0549,0.957,0.893,0.0972,78.809,0.115,7,0
classical,0.169,0.0161,-31.034,0.0442,0.986,0.86,0.0573,128.143,0.0805,9,0
classical,0.0921,0.0183,-31.858,0.0513,0.942,0.94,0.039,166.979,0.195,7,1
classical,0.216,0.149,-18.173,0.0402,0.986,0.94,0.117,123.201,0.0921,7,1
classical,0.252,0.0875,-24.711,0.0403,0.989,0.873,0.126,135.774,0.108,9,0
classical,0.418,0.00869,-37.257,0.0455,0.996,0.962,0.42,87.273,0.105,7,1
classical,0.225,0.0047,-30.928,0.0509,0.992,0.881,0.186,163.665,0.0722,1,0
classical,0.454,0.0076,-33.663,0.0408,0.995,0.91,0.294,64.645,0.0864,4,1
classical,0.339,0.00572,-32.309,0.0378,0.986,0.923,0.0616,72.7,0.103,11,0
classical,0.338,0.00887,-32.602,0.0459,0.994,0.957,0.114,113.173,0.109,8,1
classical,0.191,0.0582,-25.398,0.0578,0.961,0.89,0.0454,132.614,0.0941,8,1
classical,0.287,0.00703,-41.696,0.0518,0.995,0.909,0.693,124.244,0.0997,8,0
classical,0.417,0.026,-36.7,0.0493,0.995,0.938,0.269,135.244,0.107,1,1
classical,0.526,0.0344,-27.855,0.11,0.996,0.924,0.208,67.101,0.118,7,0
classical,0.282,0.0264,-26.705,0.0384,0.982,0.871,0.0672,144.542,0.088,4,1
classical,0.488,0.181,-17.76,0.0555,0.827,0.0474,0.888,145.98,0.264,11,0
classical,0.295,0.207,-18.213,0.0358,0.992,0.931,0.112,98.39,0.164,8,1
classical,0.399,0.0439,-24.491,0.0463,0.979,1.69e-06,0.418,99.718,0.284,8,0
classical,0.199,0.049,-21.91,0.049,0.93,0.0393,0.0758,111.693,0.0836,1,0
classical,0.279,0.0876,-27.941,0.0383,0.989,0.896,0.0973,134.041,0.132,0,1
classical,0.491,0.0282,-35.207,0.0469,0.996,0.923,0.429,104.072,0.117,7,0
classical,0.175,0.0418,-25.426,0.0402,0.992,0.907,0.0686,66.084,0.0748,6,1
classical,0.28,0.00856,-30.663,0.0406,0.995,0.903,0.209,69.877,0.107,8,1
classical,0.335,0.0121,-27.15,0.0455,0.995,0.883,0.168,68.764,0.0858,4,0
classical,0.302,0.355,-9.742,0.0312,0.915,0.683,0.222,80.371,0.117,2,0
classical,0.36,0.0457,-20.132,0.0327,0.981,0.933,0.124,65.971,0.105,6,1
classical,0.585,0.025,-27.829,0.084,0.991,0.878,0.597,80.555,0.101,7,1
